"query","frequency","source","intent","cluster","subcluster","closeness_to_fotolovi","competition_notes","serp_notes","interesting_findings"
"свадебные фото гостей на свадьбе","14","Arsenkin Wordstat Russia left column","problem","PHOTO","Левая; seed: фото гостей на свадьбе","direct","","","real Wordstat expansion from seed: фото гостей на свадьбе"
"фото гостей на свадьбе","1487","Arsenkin Wordstat Russia left column","problem","PHOTO","Левая; seed: фото гостей на свадьбе","direct","ads:0; diverse SERP; Yandex Images present","TOP10 hosts: yandex.ru, ru.pinterest.com, shutterstock.com, ru.freepik.com, wedding-magazine.ru, achernishev.ru, istockphoto.com, the-wedding.ru, ...","real Wordstat expansion from seed: фото гостей на свадьбе | possible low/medium competition opportunity; Pinterest-like / visual intent signal"
"фото гостей на свадьбе 2025","63","Arsenkin Wordstat Russia left column","problem","PHOTO","Левая; seed: фото гостей на свадьбе","direct","","","real Wordstat expansion from seed: фото гостей на свадьбе"
"фото гостей на свадьбе летом","211","Arsenkin Wordstat Russia left column","problem","PHOTO","Левая; seed: фото гостей на свадьбе","direct","","","real Wordstat expansion from seed: фото гостей на свадьбе"
"qr код для фотографий на свадьбе","13","Arsenkin Wordstat Russia left column","commercial","QR","Левая; seed: qr код на свадьбу","direct","","","real Wordstat expansion from seed: qr код на свадьбу"
"как не потерять фото гостей","0","Arsenkin Wordstat seasonality Russia 2025-06..2026-05","problem","PHOTO","seasonality_monthly","direct","","","year_sum=0; peak=2025-06-01:0; low=2025-06-01:0; peak_to_low=n/a"
"как собрать фото гостей","0","Arsenkin Wordstat seasonality Russia 2025-06..2026-05","problem","PRODUCT","seasonality_monthly","direct","ads:0; diverse SERP; UGC/forum present; many aggregators/tools","TOP10 hosts: tamadoba.tech, fotify.app, planning.wedding, tr-page.yandex.ru, vc.ru, the-qrcode-generator.com, prophotos.ru, sendtodrive.com, ...","year_sum=0; peak=2025-06-01:0; low=2025-06-01:0; peak_to_low=n/a | possible low/medium competition opportunity; UGC signal"
"как собрать фото после свадьбы","0","Arsenkin Wordstat seasonality Russia 2025-06..2026-05","problem","PHOTO","seasonality_monthly","direct","","","year_sum=0; peak=2025-06-01:0; low=2025-06-01:0; peak_to_low=n/a"
"общий альбом свадьбы","0","Arsenkin Wordstat seasonality Russia 2025-06..2026-05","problem","PHOTO","seasonality_monthly","direct","ads:0; diverse SERP","TOP10 hosts: multifoto.ru, wildberries.ru, avito.ru, fotify.app, libraryphoto.ru, fsfera.ru, periodica.press, ozon.ru, ...","year_sum=0; peak=2025-06-01:0; low=2025-06-01:0; peak_to_low=n/a | possible low/medium competition opportunity"
"сбор фото гостей","0","Arsenkin Wordstat seasonality Russia 2025-06..2026-05","commercial","PRODUCT","seasonality_monthly","direct","ads:0; diverse SERP; Yandex Images present; many aggregators/tools","TOP10 hosts: yandex.ru, tamadoba.tech, ru.freepik.com, fotify.app, shutterstock.com, ru.pinterest.com, the-qrcode-generator.com, planning.wedding, ...","year_sum=0; peak=2025-06-01:0; low=2025-06-01:0; peak_to_low=n/a | possible low/medium competition opportunity; Pinterest-like / visual intent signal"
"фото гостей на свадьбе","12858","Arsenkin Wordstat seasonality Russia 2025-06..2026-05","problem","PHOTO","seasonality_monthly","direct","ads:0; diverse SERP; Yandex Images present","TOP10 hosts: yandex.ru, ru.pinterest.com, shutterstock.com, ru.freepik.com, wedding-magazine.ru, achernishev.ru, istockphoto.com, the-wedding.ru, ...","year_sum=12858; peak=2025-07-01:2613; low=2025-12-01:298; peak_to_low=8.8 | possible low/medium competition opportunity; Pinterest-like / visual intent signal"
"свадебные фото гостей на свадьбе","","Yandex Suggest direct Russia lr=225","problem","PHOTO","suggest exact; seed: фото гостей на свадьбе","direct","","","real Yandex suggest for request: фото гостей на свадьбе"
"фото гостей на свадьбе","","Yandex Suggest direct Russia lr=225","problem","PHOTO","suggest exact; seed: фото гостей на свадьбе","direct","ads:0; diverse SERP; Yandex Images present","TOP10 hosts: yandex.ru, ru.pinterest.com, shutterstock.com, ru.freepik.com, wedding-magazine.ru, achernishev.ru, istockphoto.com, the-wedding.ru, ...","real Yandex suggest for request: фото гостей на свадьбе | possible low/medium competition opportunity; Pinterest-like / visual intent signal"
"фото гостей на свадьбе 2025","","Yandex Suggest direct Russia lr=225","problem","PHOTO","suggest exact; seed: фото гостей на свадьбе","direct","","","real Yandex suggest for request: фото гостей на свадьбе"
"фото гостей на свадьбе летом","","Yandex Suggest direct Russia lr=225","problem","PHOTO","suggest exact; seed: фото гостей на свадьбе","direct","","","real Yandex suggest for request: фото гостей на свадьбе"
"как собрать фото гостей","","Arsenkin Yandex XML TOP10 Russia","problem","PRODUCT","serp_top10","direct","ads:0; diverse SERP; UGC/forum present; many aggregators/tools | ads:0; diverse SERP; UGC/forum present; many aggregators/tools","TOP10 hosts: tamadoba.tech, fotify.app, planning.wedding, tr-page.yandex.ru, vc.ru, the-qrcode-generator.com, prophotos.ru, sendtodrive.com, ... | TOP10 hosts: tamadoba.tech, fotify.app, planning.wedding, tr-page.yandex.ru, vc.ru, the-qrcode-generator.com, prophotos.ru, sendtodrive.com, ...","possible low/medium competition opportunity; UGC signal | possible low/medium competition opportunity; UGC signal"
"общий альбом свадьбы","","Arsenkin Yandex XML TOP10 Russia","problem","PHOTO","serp_top10","direct","ads:0; diverse SERP | ads:0; diverse SERP","TOP10 hosts: multifoto.ru, wildberries.ru, avito.ru, fotify.app, libraryphoto.ru, fsfera.ru, periodica.press, ozon.ru, ... | TOP10 hosts: multifoto.ru, wildberries.ru, avito.ru, fotify.app, libraryphoto.ru, fsfera.ru, periodica.press, ozon.ru, ...","possible low/medium competition opportunity | possible low/medium competition opportunity"
"сбор фото гостей","","Arsenkin Yandex XML TOP10 Russia","commercial","PRODUCT","serp_top10","direct","ads:0; diverse SERP; Yandex Images present; many aggregators/tools | ads:0; diverse SERP; Yandex Images present; many aggregators/tools","TOP10 hosts: yandex.ru, tamadoba.tech, ru.freepik.com, fotify.app, shutterstock.com, ru.pinterest.com, the-qrcode-generator.com, planning.wedding, ... | TOP10 hosts: yandex.ru, tamadoba.tech, ru.freepik.com, fotify.app, shutterstock.com, ru.pinterest.com, the-qrcode-generator.com, planning.wedding, ...","possible low/medium competition opportunity; Pinterest-like / visual intent signal | possible low/medium competition opportunity; Pinterest-like / visual intent signal"
"фото гостей на свадьбе","","Arsenkin Yandex XML TOP10 Russia","problem","PHOTO","serp_top10","direct","ads:0; diverse SERP; Yandex Images present | ads:0; diverse SERP; Yandex Images present","TOP10 hosts: yandex.ru, ru.pinterest.com, shutterstock.com, ru.freepik.com, wedding-magazine.ru, achernishev.ru, istockphoto.com, the-wedding.ru, ... | TOP10 hosts: yandex.ru, ru.pinterest.com, shutterstock.com, ru.freepik.com, wedding-magazine.ru, achernishev.ru, istockphoto.com, the-wedding.ru, ...","possible low/medium competition opportunity; Pinterest-like / visual intent signal | possible low/medium competition opportunity; Pinterest-like / visual intent signal"
"4 свадьбы молодежная классика современная классика","11","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"4 свадьбы современная казахская свадьба","16","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"4 свадьбы современная классика","25","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"4 свадьбы творческая и современная","12","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"анекдот про свадьбу лучший современный","6","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
