№	Кластер	Подкластер	Seed query	Тип интента	Близость к FotoLovi	Комментарий
1	Прямой продукт	Сбор фото гостей	сбор фото гостей	product	direct	Прямая продуктовая семантика
2	Прямой продукт	Сбор фото гостей	сбор фотографий гостей	product	direct	Прямая продуктовая семантика
3	Прямой продукт	Сбор фото гостей	сервис сбора фото гостей	product	direct	Прямая продуктовая семантика
4	Прямой продукт	Сбор фото гостей	сервис для сбора фотографий гостей	product	direct	Прямая продуктовая семантика
5	Прямой продукт	Сбор фото гостей	платформа для сбора фото гостей	product	direct	Прямая продуктовая семантика
6	Прямой продукт	Сбор фото гостей	инструмент для сбора фото гостей	product	direct	Прямая продуктовая семантика
7	Прямой продукт	Сбор фото гостей	онлайн сбор фото гостей	product	direct	Прямая продуктовая семантика
8	Прямой продукт	Сбор фото гостей	собрать фото гостей онлайн	product	direct	Прямая продуктовая семантика
9	Прямой продукт	Сбор фото гостей	куда гости могут загрузить фото	product	direct	Прямая продуктовая семантика
10	Прямой продукт	Сбор фото гостей	где собрать фото гостей	product	direct	Прямая продуктовая семантика
11	Прямой продукт	Сбор фото гостей	как собрать фотографии гостей	product	direct	Прямая продуктовая семантика
12	Прямой продукт	Сбор фото гостей	как собрать фото со всех гостей	product	direct	Прямая продуктовая семантика
13	Прямой продукт	Сбор фото гостей	как собрать все фото гостей	product	direct	Прямая продуктовая семантика
14	Прямой продукт	Сбор фото гостей	как получить фото от гостей	product	direct	Прямая продуктовая семантика
15	Прямой продукт	Сбор фото гостей	как не потерять фото гостей	product	direct	Прямая продуктовая семантика
16	Прямой продукт	Сбор фото гостей	загрузка фото гостей без приложения	product	direct	Прямая продуктовая семантика
17	Прямой продукт	Сбор фото гостей	гости загружают фото без приложения	product	direct	Прямая продуктовая семантика
18	Прямой продукт	Сбор фото гостей	фото гостей в одну галерею	product	direct	Прямая продуктовая семантика
19	Прямой продукт	Сбор фото гостей	общая галерея фото гостей	product	direct	Прямая продуктовая семантика
20	Прямой продукт	Сбор фото гостей	единый альбом для фото гостей	product	direct	Прямая продуктовая семантика
21	Прямой продукт	Сбор фото гостей	альбом для загрузки фото гостями	product	direct	Прямая продуктовая семантика
22	Прямой продукт	Сбор фото гостей	сервис где гости загружают фото	product	direct	Прямая продуктовая семантика
23	Прямой продукт	Сбор фото гостей	приложение для фото гостей	product	direct	Прямая продуктовая семантика
24	Прямой продукт	Сбор фото гостей	сайт для фото гостей	product	direct	Прямая продуктовая семантика
25	Прямой продукт	Сбор фото гостей	онлайн альбом для гостей	product	direct	Прямая продуктовая семантика
26	Прямой продукт	Сбор фото гостей	гостевой фотоальбом онлайн	product	direct	Прямая продуктовая семантика
27	Прямой продукт	Сбор фото гостей	фотоальбом мероприятия онлайн	product	direct	Прямая продуктовая семантика
28	Прямой продукт	Сбор фото гостей	галерея мероприятия онлайн	product	direct	Прямая продуктовая семантика
29	Прямой продукт	Сбор фото гостей	фото гостей по ссылке	product	direct	Прямая продуктовая семантика
30	Прямой продукт	Сбор фото гостей	загрузка фото по ссылке для гостей	product	direct	Прямая продуктовая семантика
31	Прямой продукт	Сбор фото гостей	загрузка фото по qr коду	product	direct	Прямая продуктовая семантика
32	Прямой продукт	Сбор фото гостей	сбор фото по qr коду	product	direct	Прямая продуктовая семантика
33	Прямой продукт	Сбор фото гостей	сервис фото по qr коду	product	direct	Прямая продуктовая семантика
34	Прямой продукт	Сбор фото гостей	qr код для загрузки фото	product	direct	Прямая продуктовая семантика
35	Прямой продукт	Сбор фото гостей	qr код чтобы гости загрузили фото	product	direct	Прямая продуктовая семантика
36	Прямой продукт	Сбор фото гостей	qr альбом для гостей	product	direct	Прямая продуктовая семантика
37	Прямой продукт	Сбор фото гостей	qr фотоальбом	product	direct	Прямая продуктовая семантика
38	Прямой продукт	Сбор фото гостей	qr галерея фотографий	product	direct	Прямая продуктовая семантика
39	Прямой продукт	Сбор фото гостей	общий qr альбом	product	direct	Прямая продуктовая семантика
40	Прямой продукт	Сбор фото гостей	фотографии гостей по qr	product	direct	Прямая продуктовая семантика
41	Прямой продукт	Сбор фото гостей	как сделать qr альбом	product	direct	Прямая продуктовая семантика
42	Прямой продукт	Сбор фото гостей	как сделать галерею по qr	product	direct	Прямая продуктовая семантика
43	Прямой продукт	Сбор фото гостей	сервис qr альбом	product	direct	Прямая продуктовая семантика
44	Прямой продукт	Сбор фото гостей	онлайн qr альбом	product	direct	Прямая продуктовая семантика
45	Прямой продукт	Сбор фото гостей	qr альбом без приложения	product	direct	Прямая продуктовая семантика
46	Прямой продукт	Сбор фото гостей	qr галерея без приложения	product	direct	Прямая продуктовая семантика
47	Прямой продукт	Сбор фото гостей	сбор фото без регистрации гостей	product	direct	Прямая продуктовая семантика
48	Прямой продукт	Сбор фото гостей	загрузка фото без регистрации	product	direct	Прямая продуктовая семантика
49	Прямой продукт	Сбор фото гостей	фотоальбом без приложения	product	direct	Прямая продуктовая семантика
50	Прямой продукт	Сбор фото гостей	общий альбом без приложения	product	direct	Прямая продуктовая семантика
51	Прямой продукт	Сбор фото гостей	сервис для фото с мероприятия	product	direct	Прямая продуктовая семантика
52	Прямой продукт	Сбор фото гостей	сервис для фотографий мероприятия	product	direct	Прямая продуктовая семантика
53	Прямой продукт	Сбор фото гостей	платформа фото мероприятия	product	direct	Прямая продуктовая семантика
54	Прямой продукт	Сбор фото гостей	фото с мероприятия в одном месте	product	direct	Прямая продуктовая семантика
55	Прямой продукт	Сбор фото гостей	все фото с мероприятия онлайн	product	direct	Прямая продуктовая семантика
56	Прямой продукт	Сбор фото гостей	общая фотолента мероприятия	product	direct	Прямая продуктовая семантика
57	Прямой продукт	Сбор фото гостей	живая фотолента мероприятия	product	direct	Прямая продуктовая семантика
58	Прямой продукт	Сбор фото гостей	онлайн фотолента гостей	product	direct	Прямая продуктовая семантика
59	Прямой продукт	Сбор фото гостей	фото гостей в реальном времени	product	direct	Прямая продуктовая семантика
60	Прямой продукт	Сбор фото гостей	live фото гостей	product	direct	Прямая продуктовая семантика
61	Прямой продукт	Сбор фото гостей	живые фото с мероприятия	product	direct	Прямая продуктовая семантика
62	Прямой продукт	Сбор фото гостей	фото гостей на экран	product	direct	Прямая продуктовая семантика
63	Прямой продукт	Сбор фото гостей	фото гостей на проектор	product	direct	Прямая продуктовая семантика
64	Прямой продукт	Сбор фото гостей	показ фото гостей на экране	product	direct	Прямая продуктовая семантика
65	Прямой продукт	Сбор фото гостей	показ фото с мероприятия на экране	product	direct	Прямая продуктовая семантика
66	Прямой продукт	Сбор фото гостей	фото на экран по qr	product	direct	Прямая продуктовая семантика
67	Прямой продукт	Сбор фото гостей	фото на проектор по qr	product	direct	Прямая продуктовая семантика
68	Прямой продукт	Сбор фото гостей	гости загружают фото на экран	product	direct	Прямая продуктовая семантика
69	Прямой продукт	Сбор фото гостей	фото появляются на экране мероприятия	product	direct	Прямая продуктовая семантика
70	Прямой продукт	Сбор фото гостей	модерация фото гостей	product	direct	Прямая продуктовая семантика
71	Прямой продукт	Сбор фото гостей	модерация фотографий мероприятия	product	direct	Прямая продуктовая семантика
72	Прямой продукт	Сбор фото гостей	сервис с модерацией фото	product	direct	Прямая продуктовая семантика
73	Прямой продукт	Сбор фото гостей	премодерация фото гостей	product	direct	Прямая продуктовая семантика
74	Прямой продукт	Сбор фото гостей	проверка фото перед показом	product	direct	Прямая продуктовая семантика
75	Прямой продукт	Сбор фото гостей	скачать фото гостей после мероприятия	product	direct	Прямая продуктовая семантика
76	Прямой продукт	Сбор фото гостей	скачать общий альбом	product	direct	Прямая продуктовая семантика
77	Прямой продукт	Сбор фото гостей	скачать альбом гостей	product	direct	Прямая продуктовая семантика
78	Прямой продукт	Сбор фото гостей	архив фото гостей	product	direct	Прямая продуктовая семантика
79	Прямой продукт	Сбор фото гостей	сохранить фото гостей после события	product	direct	Прямая продуктовая семантика
80	Прямой продукт	Сбор фото гостей	галерея после мероприятия	product	direct	Прямая продуктовая семантика
81	Прямой продукт	Сбор фото гостей	альбом после мероприятия онлайн	product	direct	Прямая продуктовая семантика
82	Прямой продукт	По типам событий	сбор фото гостей на свадьбе	product	direct	Свадебный основной сценарий
83	Прямой продукт	По типам событий	сервис сбора фото гостей на свадьбе	product	direct	Свадебный основной сценарий
84	Прямой продукт	По типам событий	как собрать фото гостей на свадьбе	wedding	direct	Свадебный основной сценарий
85	Прямой продукт	По типам событий	куда загрузить фото гостей на свадьбе	wedding	direct	Свадебный основной сценарий
86	Прямой продукт	По типам событий	гостей загружают фото на свадьбе	wedding	direct	Свадебный основной сценарий
87	Прямой продукт	По типам событий	общая галерея для гостей на свадьбе	wedding	direct	Свадебный основной сценарий
88	Прямой продукт	По типам событий	общий альбом фото гостей на свадьбе	wedding	direct	Свадебный основной сценарий
89	Прямой продукт	По типам событий	qr альбом для гостей на свадьбе	qr	direct	Свадебный основной сценарий
90	Прямой продукт	По типам событий	qr код для фото гостей на свадьбе	qr	direct	Свадебный основной сценарий
91	Прямой продукт	По типам событий	фото гостей на экран на свадьбе	screen	direct	Свадебный основной сценарий
92	Прямой продукт	По типам событий	фото гостей на проектор на свадьбе	screen	direct	Свадебный основной сценарий
93	Прямой продукт	По типам событий	загрузка фото без приложения на свадьбе	product	direct	Свадебный основной сценарий
94	Прямой продукт	По типам событий	модерация фото гостей на свадьбе	product	direct	Свадебный основной сценарий
95	Прямой продукт	По типам событий	скачать фото гостей после свадьбы	photo	direct	Свадебный основной сценарий
96	Прямой продукт	По типам событий	галерея после свадьбы	photo	direct	Свадебный основной сценарий
97	Прямой продукт	По типам событий	сбор фото гостей на мероприятии	product	direct	Универсальный event-сценарий
98	Прямой продукт	По типам событий	сервис сбора фото гостей на мероприятии	product	direct	Универсальный event-сценарий
99	Прямой продукт	По типам событий	как собрать фото гостей на мероприятии	event	direct	Универсальный event-сценарий
100	Прямой продукт	По типам событий	куда загрузить фото гостей на мероприятии	event	direct	Универсальный event-сценарий
101	Прямой продукт	По типам событий	гостей загружают фото на мероприятии	event	direct	Универсальный event-сценарий
102	Прямой продукт	По типам событий	общая галерея для гостей на мероприятии	event	direct	Универсальный event-сценарий
103	Прямой продукт	По типам событий	общий альбом фото гостей на мероприятии	event	direct	Универсальный event-сценарий
104	Прямой продукт	По типам событий	qr альбом для гостей на мероприятии	qr	direct	Универсальный event-сценарий
105	Прямой продукт	По типам событий	qr код для фото гостей на мероприятии	qr	direct	Универсальный event-сценарий
106	Прямой продукт	По типам событий	фото гостей на экран на мероприятии	screen	direct	Универсальный event-сценарий
107	Прямой продукт	По типам событий	фото гостей на проектор на мероприятии	screen	direct	Универсальный event-сценарий
108	Прямой продукт	По типам событий	загрузка фото без приложения на мероприятии	product	direct	Универсальный event-сценарий
109	Прямой продукт	По типам событий	модерация фото гостей на мероприятии	product	direct	Универсальный event-сценарий
110	Прямой продукт	По типам событий	сбор фото коллег на корпоративе	product	near	Корпоративный сценарий
111	Прямой продукт	По типам событий	сервис сбора фото коллег на корпоративе	product	near	Корпоративный сценарий
112	Прямой продукт	По типам событий	как собрать фото коллег на корпоративе	event	near	Корпоративный сценарий
113	Прямой продукт	По типам событий	куда загрузить фото коллег на корпоративе	event	near	Корпоративный сценарий
114	Прямой продукт	По типам событий	коллег загружают фото на корпоративе	event	near	Корпоративный сценарий
115	Прямой продукт	По типам событий	общая галерея для коллег на корпоративе	event	near	Корпоративный сценарий
116	Прямой продукт	По типам событий	общий альбом фото коллег на корпоративе	event	near	Корпоративный сценарий
117	Прямой продукт	По типам событий	qr альбом для коллег на корпоративе	qr	near	Корпоративный сценарий
118	Прямой продукт	По типам событий	qr код для фото коллег на корпоративе	qr	near	Корпоративный сценарий
119	Прямой продукт	По типам событий	фото коллег на экран на корпоративе	screen	near	Корпоративный сценарий
120	Прямой продукт	По типам событий	фото коллег на проектор на корпоративе	screen	near	Корпоративный сценарий
121	Прямой продукт	По типам событий	загрузка фото без приложения на корпоративе	product	near	Корпоративный сценарий
122	Прямой продукт	По типам событий	модерация фото коллег на корпоративе	product	near	Корпоративный сценарий
123	Прямой продукт	По типам событий	скачать фото коллег после корпоратива	photo	near	Корпоративный сценарий
124	Прямой продукт	По типам событий	галерея после корпоратива	photo	near	Корпоративный сценарий
125	Прямой продукт	По типам событий	сбор фото гостей на юбилее	product	near	Семейный праздник
126	Прямой продукт	По типам событий	сервис сбора фото гостей на юбилее	product	near	Семейный праздник
127	Прямой продукт	По типам событий	как собрать фото гостей на юбилее	event	near	Семейный праздник
128	Прямой продукт	По типам событий	куда загрузить фото гостей на юбилее	event	near	Семейный праздник
129	Прямой продукт	По типам событий	гостей загружают фото на юбилее	event	near	Семейный праздник
130	Прямой продукт	По типам событий	общая галерея для гостей на юбилее	event	near	Семейный праздник
131	Прямой продукт	По типам событий	общий альбом фото гостей на юбилее	event	near	Семейный праздник
132	Прямой продукт	По типам событий	qr альбом для гостей на юбилее	qr	near	Семейный праздник
133	Прямой продукт	По типам событий	qr код для фото гостей на юбилее	qr	near	Семейный праздник
134	Прямой продукт	По типам событий	фото гостей на экран на юбилее	screen	near	Семейный праздник
135	Прямой продукт	По типам событий	фото гостей на проектор на юбилее	screen	near	Семейный праздник
136	Прямой продукт	По типам событий	загрузка фото без приложения на юбилее	product	near	Семейный праздник
137	Прямой продукт	По типам событий	модерация фото гостей на юбилее	product	near	Семейный праздник
138	Прямой продукт	По типам событий	скачать фото гостей после юбилея	photo	near	Семейный праздник
139	Прямой продукт	По типам событий	галерея после юбилея	photo	near	Семейный праздник
140	Прямой продукт	По типам событий	сбор фото гостей на дне рождения	product	near	День рождения
141	Прямой продукт	По типам событий	сервис сбора фото гостей на дне рождения	product	near	День рождения
142	Прямой продукт	По типам событий	как собрать фото гостей на дне рождения	event	near	День рождения
143	Прямой продукт	По типам событий	куда загрузить фото гостей на дне рождения	event	near	День рождения
144	Прямой продукт	По типам событий	гостей загружают фото на дне рождения	event	near	День рождения
145	Прямой продукт	По типам событий	общая галерея для гостей на дне рождения	event	near	День рождения
146	Прямой продукт	По типам событий	общий альбом фото гостей на дне рождения	event	near	День рождения
147	Прямой продукт	По типам событий	qr альбом для гостей на дне рождения	qr	near	День рождения
148	Прямой продукт	По типам событий	qr код для фото гостей на дне рождения	qr	near	День рождения
149	Прямой продукт	По типам событий	фото гостей на экран на дне рождения	screen	near	День рождения
150	Прямой продукт	По типам событий	фото гостей на проектор на дне рождения	screen	near	День рождения
151	Прямой продукт	По типам событий	загрузка фото без приложения на дне рождения	product	near	День рождения
152	Прямой продукт	По типам событий	модерация фото гостей на дне рождения	product	near	День рождения
153	Прямой продукт	По типам событий	скачать фото гостей после дня рождения	photo	near	День рождения
154	Прямой продукт	По типам событий	галерея после дня рождения	photo	near	День рождения
155	Прямой продукт	По типам событий	сбор фото выпускников и гостей на выпускном	product	near	Выпускной
156	Прямой продукт	По типам событий	сервис сбора фото выпускников и гостей на выпускном	product	near	Выпускной
157	Прямой продукт	По типам событий	как собрать фото выпускников и гостей на выпускном	event	near	Выпускной
158	Прямой продукт	По типам событий	куда загрузить фото выпускников и гостей на выпускном	event	near	Выпускной
159	Прямой продукт	По типам событий	выпускников и гостей загружают фото на выпускном	event	near	Выпускной
160	Прямой продукт	По типам событий	общая галерея для выпускников и гостей на выпускном	event	near	Выпускной
161	Прямой продукт	По типам событий	общий альбом фото выпускников и гостей на выпускном	event	near	Выпускной
162	Прямой продукт	По типам событий	qr альбом для выпускников и гостей на выпускном	qr	near	Выпускной
163	Прямой продукт	По типам событий	qr код для фото выпускников и гостей на выпускном	qr	near	Выпускной
164	Прямой продукт	По типам событий	фото выпускников и гостей на экран на выпускном	screen	near	Выпускной
165	Прямой продукт	По типам событий	фото выпускников и гостей на проектор на выпускном	screen	near	Выпускной
166	Прямой продукт	По типам событий	загрузка фото без приложения на выпускном	product	near	Выпускной
167	Прямой продукт	По типам событий	модерация фото выпускников и гостей на выпускном	product	near	Выпускной
168	Прямой продукт	По типам событий	скачать фото выпускников и гостей после выпускного	photo	near	Выпускной
169	Прямой продукт	По типам событий	галерея после выпускного	photo	near	Выпускной
170	Прямой продукт	По типам событий	сбор фото гостей на вечеринке	product	near	Вечеринка
171	Прямой продукт	По типам событий	сервис сбора фото гостей на вечеринке	product	near	Вечеринка
172	Прямой продукт	По типам событий	как собрать фото гостей на вечеринке	event	near	Вечеринка
173	Прямой продукт	По типам событий	куда загрузить фото гостей на вечеринке	event	near	Вечеринка
174	Прямой продукт	По типам событий	гостей загружают фото на вечеринке	event	near	Вечеринка
175	Прямой продукт	По типам событий	общая галерея для гостей на вечеринке	event	near	Вечеринка
176	Прямой продукт	По типам событий	общий альбом фото гостей на вечеринке	event	near	Вечеринка
177	Прямой продукт	По типам событий	qr альбом для гостей на вечеринке	qr	near	Вечеринка
178	Прямой продукт	По типам событий	qr код для фото гостей на вечеринке	qr	near	Вечеринка
179	Прямой продукт	По типам событий	фото гостей на экран на вечеринке	screen	near	Вечеринка
180	Прямой продукт	По типам событий	фото гостей на проектор на вечеринке	screen	near	Вечеринка
181	Прямой продукт	По типам событий	загрузка фото без приложения на вечеринке	product	near	Вечеринка
182	Прямой продукт	По типам событий	модерация фото гостей на вечеринке	product	near	Вечеринка
183	Прямой продукт	По типам событий	скачать фото гостей после вечеринки	photo	near	Вечеринка
184	Прямой продукт	По типам событий	галерея после вечеринки	photo	near	Вечеринка
185	Прямой продукт	По типам событий	сбор фото участников на конференции	product	adjacent	Деловое мероприятие
186	Прямой продукт	По типам событий	сервис сбора фото участников на конференции	product	adjacent	Деловое мероприятие
187	Прямой продукт	По типам событий	как собрать фото участников на конференции	event	adjacent	Деловое мероприятие
188	Прямой продукт	По типам событий	куда загрузить фото участников на конференции	event	adjacent	Деловое мероприятие
189	Прямой продукт	По типам событий	участников загружают фото на конференции	event	adjacent	Деловое мероприятие
190	Прямой продукт	По типам событий	общая галерея для участников на конференции	event	adjacent	Деловое мероприятие
191	Прямой продукт	По типам событий	общий альбом фото участников на конференции	event	adjacent	Деловое мероприятие
192	Прямой продукт	По типам событий	qr альбом для участников на конференции	qr	adjacent	Деловое мероприятие
193	Прямой продукт	По типам событий	qr код для фото участников на конференции	qr	adjacent	Деловое мероприятие
194	Прямой продукт	По типам событий	фото участников на экран на конференции	screen	adjacent	Деловое мероприятие
195	Прямой продукт	По типам событий	фото участников на проектор на конференции	screen	adjacent	Деловое мероприятие
196	Прямой продукт	По типам событий	загрузка фото без приложения на конференции	product	adjacent	Деловое мероприятие
197	Прямой продукт	По типам событий	модерация фото участников на конференции	product	adjacent	Деловое мероприятие
198	Прямой продукт	По типам событий	скачать фото участников после конференции	photo	adjacent	Деловое мероприятие
199	Прямой продукт	По типам событий	галерея после конференции	photo	adjacent	Деловое мероприятие
200	Прямой продукт	По типам событий	сбор фото участников на презентации	product	adjacent	Деловой event-сценарий
201	Прямой продукт	По типам событий	сервис сбора фото участников на презентации	product	adjacent	Деловой event-сценарий
202	Прямой продукт	По типам событий	как собрать фото участников на презентации	event	adjacent	Деловой event-сценарий
203	Прямой продукт	По типам событий	куда загрузить фото участников на презентации	event	adjacent	Деловой event-сценарий
204	Прямой продукт	По типам событий	участников загружают фото на презентации	event	adjacent	Деловой event-сценарий
205	Прямой продукт	По типам событий	общая галерея для участников на презентации	event	adjacent	Деловой event-сценарий
206	Прямой продукт	По типам событий	общий альбом фото участников на презентации	event	adjacent	Деловой event-сценарий
207	Прямой продукт	По типам событий	qr альбом для участников на презентации	qr	adjacent	Деловой event-сценарий
208	Прямой продукт	По типам событий	qr код для фото участников на презентации	qr	adjacent	Деловой event-сценарий
209	Прямой продукт	По типам событий	фото участников на экран на презентации	screen	adjacent	Деловой event-сценарий
210	Прямой продукт	По типам событий	фото участников на проектор на презентации	screen	adjacent	Деловой event-сценарий
