название_страницы,URL,родительский_URL,уровень,тип_страницы,основной_интент,вторичный_интент,семантическое_владение,запрещенные_кластеры,этап_воронки,коммерческий_приоритет,контентный_приоритет,роль_во_внутренней_перелинковке,потенциал_визуального_SEO,риск_каннибализации,рекомендуемый_призыв_к_действию,заметки
Главная,/,нет,0,главная страница,Вход в продукт FotoLovi как экосистему свадебных и мероприятие-медиа,"Направить пользователей в свадьбы, фото, QR, экран и идеи",ПРОДУКТ,Глубокие свадебные идеи; сценарии ведущих; абстрактный блог про мероприятия,Вся воронка,Высокий,P0,Корневой распределитель авторитета в деньги и ключевые хабы,Средний,Средний,Создать галерею события,"Главная должна объяснять: QR-сбор фото, загрузка без приложения, живая галерея, экран, модерация и общая память события."
Свадебный хаб,/wedding/,/,1,хаб,"Решения для свадьбы: собрать фото гостей, показать их на экране и сохранить общую галерею","Свадебные интерактивы, цифровая свадьба, приветственный сценарий",СВАДЬБА,Корпоративы как основной интент; только ведущие; общий QR-генератор,Верх и середина воронки,Очень высокий,P0,Главный хаб самого сильного кластера; распределяет вес в свадебные коммерческие страницы и визуальные верх воронки-страницы,Высокий,Низкий,Создать свадебную фото-галерею,Самый большой подтвержденный кластер в данных по России за год.
QR-альбом для свадьбы,/wedding/qr-photo-album/,/wedding/,2,коммерческая страница,"QR-альбом, куда гости загружают свадебные фото","Загрузка без приложения, общая галерея, модерация и экран в реальном времени",СВАДЬБА; QR; БЕЗ ПРИЛОЖЕНИЯ,Контент для экрана как основной интент; общий QR-генератор; игры ведущего,Середина и низ воронки,Очень высокий,P0,"Главная коммерческая страница для свадебного QR-интента; принимает ссылки из QR, свадебный, без приложения и приветственных страниц",Высокий,Средний,Создать QR-альбом для свадьбы,Поддерживается запросами про QR для свадебных фото и фото гостей. Не должна превращаться в страницу QR-генератора общего назначения.
Фото гостей на свадьбе,/wedding/guest-photos/,/wedding/,2,коммерческая страница,Собрать фото гостей на свадьбе,Получить фото во время и после свадьбы без хаоса в чатах,СВАДЬБА; ФОТО,QR-механика как основной интент; аренда проектора; общие идеи развлечений,Середина и низ воронки,Очень высокий,P0,"Главная свадебная коммерческая страница для фото гостей; принимает авторитет из свадебный, фото и идеи",Высокий,Низкий,Собрать фото гостей,Прямое подтверждение: `фото гостей на свадьбе` имеет сильный годовой спрос и визуальные сигналы выдачи.
Как собрать фото после свадьбы,/wedding/collect-photos-after-wedding/,/wedding/,2,контентная коммерческая страница,Как собрать фото после свадьбы у гостей,"Вернуть фотографии из телефонов, мессенджеров и облаков в одну галерею",СВАДЬБА; ФОТО; ПРОБЛЕМА,Экран в реальном времени; приветственная зона; интерактивы ведущего,Середина воронки,Высокий,P1,Конвертер длинного хвоста в сбор фото гостей и общий альбом,Средний,Средний,Собрать фото после свадьбы,Страница закрывает намерение боли и должна показывать сценарий после события.
Общий свадебный альбом,/wedding/shared-album/,/wedding/,2,коммерческая страница,Общий альбом свадьбы для гостей,"Альтернатива чатам, Google Drive, Яндекс Диску и Telegram",СВАДЬБА; ФОТО; АЛЬБОМ,QR-генератор; идеи экрана; развлечения гостей,Середина и низ воронки,Высокий,P1,Поддерживает свадебный фото-кластер и сравнительные страницы,Средний,Средний,Создать общий альбом,Владеет свадебным намерением `общий альбом свадьбы`; общий альбом намерение уходит в `/photo/shared-album/`.
Свадебные интерактивы,/wedding/interactive/,/wedding/,2,хаб-контент,Интерактивы на свадьбу с участием гостей,"Фото-активности, QR-задания, фотостену в реальном времени, экранные моменты",СВАДЬБА; ИНТЕРАКТИВ; СОБЫТИЯ,Только сценарии ведущего; корпоративы; QR как технический мануал,Верх и середина воронки,Высокий,P1,"Хаб идей, который передает авторитет в QR-альбом, фотостену в реальном времени и экран",Очень высокий,Средний,Добавить фото-интерактив,Выдача по интерактивам и развлечениям дает визуальный и низкоконкурентный верх воронки-вход.
Современная свадьба,/wedding/modern/,/wedding/,2,контентный хаб,Современные идеи свадьбы,"Цифровые элементы, интерактивы, фото гостей, экран и QR",СВАДЬБА; СОВРЕМЕННАЯ СВАДЬБА,QR-инструкция; экранное оборудование; общий альбом как основной интент,Верх воронки,Средний,P1,"Слой современной свадьбы собирает широкий сезонный спрос и передает вес в цифровой, QR и интерактивы",Высокий,Низкий,Посмотреть цифровые идеи,Сильный сезонный запрос `современные свадьбы`; страница нужна как верхний авторитет-слой.
Цифровая свадьба,/wedding/digital/,/wedding/modern/,3,контентная коммерческая страница,Цифровые инструменты для свадьбы,"QR-альбом, живая галерея, экран, фото гостей без приложения",СВАДЬБА; ЦИФРОВАЯ СВАДЬБА; QR,Корпоративная цифровая трансформация; SaaS без свадебного контекста,Верх и середина воронки,Высокий,P1,Мост от широкое намерение современной свадьбы к QR-альбому и фото-сбору,Высокий,Средний,Создать цифровую галерею,Объясняет зачем цифровой формат нужен на свадьбе и переводит пользователей в коммерческие страницы.
Тренды свадеб,/wedding/trends/,/wedding/modern/,3,контентный хаб,Свадебные тренды и форматы,"Визуальный, приветственный, интерактивы, QR, экран, фото-активности",СВАДЬБА; ТРЕНДЫ; ИДЕИ,Новостной блог; тренды платьев; декор без связи с FotoLovi,Верх воронки,Средний,P2,"Ежегодный авторитет-слой для внутренние ссылки в современный, цифровой и свадебный интерактив",Очень высокий,Средний,Посмотреть идеи для гостей,"Может масштабироваться ежегодно, но не должен перетягивать продуктовое намерение."
